date,estate,plantation_area_ha,rainfall_mm,workers,fertilizer_kg,production_tons
2020-01-01,Estate_C,496,222,30,879,165.28
2020-01-02,Estate_D,194,191,90,361,83.67
2020-01-03,Estate_A,250,169,31,829,94.78
2020-01-04,Estate_C,466,207,57,382,128.61
2020-01-05,Estate_C,261,291,46,747,88.56
2020-01-06,Estate_D,269,117,24,566,90.92
2020-01-07,Estate_A,289,195,44,479,100.04
2020-01-08,Estate_A,462,239,80,461,146.39
2020-01-09,Estate_C,446,86,41,548,119.12
2020-01-10,Estate_B,95,202,20,540,69.77
2020-01-11,Estate_C,84,225,19,192,34.64
2020-01-12,Estate_C,302,242,82,720,156.48
2020-01-13,Estate_C,439,230,87,852,158.95
2020-01-14,Estate_C,131,287,86,966,118.47
2020-01-15,Estate_D,420,256,66,523,143.26
2020-01-16,Estate_A,305,122,34,241,83.48
2020-01-17,Estate_D,246,192,11,390,82.55
2020-01-18,Estate_D,352,98,73,531,126.46
2020-01-19,Estate_D,458,170,44,848,147.29
2020-01-20,Estate_C,499,137,16,951,116.53
2020-01-21,Estate_B,59,245,94,923,101.69
2020-01-22,Estate_A,361,189,27,788,106.17
2020-01-23,Estate_B,335,236,76,752,130.01
2020-01-24,Estate_D,291,299,51,800,104.47
2020-01-25,Estate_D,300,86,48,148,85.16
2020-01-26,Estate_B,414,110,50,401,128.99
2020-01-27,Estate_B,54,278,84,980,93.57
2020-01-28,Estate_B,168,220,33,289,65.05
2020-01-29,Estate_D,338,173,69,235,121.32
2020-01-30,Estate_D,423,247,55,654,133.7
2020-01-31,Estate_A,114,88,28,503,54.52
2020-02-01,Estate_A,195,233,77,991,129.64
2020-02-02,Estate_D,273,112,99,964,159.31
2020-02-03,Estate_B,288,95,51,701,122.71
2020-02-04,Estate_B,226,137,41,906,97.37
2020-02-05,Estate_A,316,60,48,440,111.63
2020-02-06,Estate_D,390,111,45,856,141.06
2020-02-07,Estate_A,331,126,45,803,135.6
2020-02-08,Estate_A,112,275,12,417,35.27
2020-02-09,Estate_C,266,202,82,717,107.32
2020-02-10,Estate_C,391,248,17,462,109.26
2020-02-11,Estate_C,364,101,79,921,129.74
2020-02-12,Estate_B,332,53,50,481,106.54
2020-02-13,Estate_D,226,108,77,332,86.83
2020-02-14,Estate_D,466,121,22,876,134.07
2020-02-15,Estate_D,147,197,58,443,67.15
2020-02-16,Estate_D,154,142,69,648,105.61
2020-02-17,Estate_C,148,112,11,916,85.75
2020-02-18,Estate_B,434,103,69,652,148.29
2020-02-19,Estate_B,454,166,14,628,135.56
2020-02-20,Estate_C,360,292,53,955,126.87
2020-02-21,Estate_B,55,286,36,888,52.84
2020-02-22,Estate_C,246,159,41,918,119.47
2020-02-23,Estate_D,400,123,30,670,130.61
2020-02-24,Estate_C,182,156,17,282,49.72
2020-02-25,Estate_D,407,275,81,140,109.3
2020-02-26,Estate_D,308,106,59,650,135.02
2020-02-27,Estate_A,486,267,76,496,134.79
2020-02-28,Estate_C,72,218,53,803,68.53
2020-02-29,Estate_A,102,290,67,878,91.39
2020-03-01,Estate_C,214,299,12,593,87.5
2020-03-02,Estate_C,251,52,95,758,137.87
2020-03-03,Estate_A,132,169,79,432,87.23
2020-03-04,Estate_A,194,55,11,226,48.26
2020-03-05,Estate_C,134,54,96,657,111.71
