date,estate,plantation_area_ha,rainfall_mm,workers,fertilizer_kg,production_tons
2019-01-01,Batu Karo,523,216.4,85,5300,1807.81
2019-01-01,Besilam,443,136.3,77,4598,1403.83
2019-01-01,Gunung Melayu,685,171.3,111,6736,2444.14
2019-01-01,Padang Halaban,307,187.2,60,3012,870.95
2019-01-01,Rambung Sialang,180,260.3,33,1964,547.44
2019-02-01,Batu Karo,519,208.8,84,5048,1608.1
2019-02-01,Besilam,443,180.4,72,4289,1400.9
2019-02-01,Gunung Melayu,676,168.0,107,6728,2196.37
2019-02-01,Padang Halaban,308,140.0,57,2935,769.29
2019-02-01,Rambung Sialang,182,142.1,42,1935,407.98
2019-03-01,Batu Karo,523,97.9,85,5043,1542.51
2019-03-01,Besilam,450,177.4,70,4537,1477.53
2019-03-01,Gunung Melayu,681,224.8,110,6726,2108.61
2019-03-01,Padang Halaban,315,144.9,53,3042,896.02
2019-03-01,Rambung Sialang,184,226.7,40,1983,495.08
2019-04-01,Batu Karo,519,291.0,81,5068,2050.92
2019-04-01,Besilam,447,210.5,67,4570,1514.59
2019-04-01,Gunung Melayu,683,200.7,113,6760,2635.88
2019-04-01,Padang Halaban,314,160.6,58,3226,913.46
2019-04-01,Rambung Sialang,182,271.2,34,1627,577.93
2019-05-01,Batu Karo,520,191.9,80,5016,2152.67
2019-05-01,Besilam,441,209.8,67,4529,1702.45
2019-05-01,Gunung Melayu,676,225.7,107,6724,3130.02
2019-05-01,Padang Halaban,312,230.1,55,2958,1070.42
2019-05-01,Rambung Sialang,175,182.4,39,1876,577.6
2019-06-01,Batu Karo,518,142.1,85,5142,2184.7
2019-06-01,Besilam,445,173.6,70,4291,1958.5
2019-06-01,Gunung Melayu,675,202.1,106,6847,3500.59
2019-06-01,Padang Halaban,305,181.5,59,3126,1221.13
2019-06-01,Rambung Sialang,183,151.2,43,1777,637.03
2019-07-01,Batu Karo,525,145.5,87,5267,2298.67
2019-07-01,Besilam,448,194.0,70,4284,1783.41
2019-07-01,Gunung Melayu,682,122.9,106,6641,3282.39
2019-07-01,Padang Halaban,306,102.6,56,3235,1254.97
2019-07-01,Rambung Sialang,182,166.8,37,1979,637.35
2019-08-01,Batu Karo,520,227.5,85,5274,2279.73
2019-08-01,Besilam,446,195.9,67,4262,1941.07
2019-08-01,Gunung Melayu,676,183.2,108,6701,2898.95
2019-08-01,Padang Halaban,307,150.2,50,3095,1137.91
2019-08-01,Rambung Sialang,179,199.7,35,1788,660.02
2019-09-01,Batu Karo,520,139.6,81,5133,2001.71
2019-09-01,Besilam,450,236.3,68,4563,1824.2
2019-09-01,Gunung Melayu,676,157.6,110,6730,2600.81
2019-09-01,Padang Halaban,309,231.9,57,3117,1165.98
2019-09-01,Rambung Sialang,178,168.5,34,1640,602.83
2019-10-01,Batu Karo,525,212.4,88,5278,2080.4
2019-10-01,Besilam,444,241.0,77,4549,1688.62
2019-10-01,Gunung Melayu,678,191.1,106,6665,2922.54
2019-10-01,Padang Halaban,308,207.7,50,3146,1027.48
2019-10-01,Rambung Sialang,178,124.4,42,1902,593.0
2019-11-01,Batu Karo,517,154.5,88,5116,1811.27
2019-11-01,Besilam,443,161.8,67,4238,1756.13
2019-11-01,Gunung Melayu,680,218.6,115,6818,2791.74
