date,estate,plantation_area_ha,rainfall_mm,workers,fertilizer_kg,production_tons
2023-01-01,Batu Karo,1177.43,52.4,310,7944.7,1948.39
2023-01-01,Besilam,1008.36,139.0,255,7052.9,1667.91
2023-01-01,Gunung Melayu,1421.37,256.9,388,10641.6,3116.64
2023-01-01,Padang Halaban,838.78,130.7,207,5155.7,937.08
2023-01-01,Rambung Sialang,620.28,96.4,144,3507.3,559.4
2023-02-01,Batu Karo,1205.85,135.7,304,8467.9,1985.93
2023-02-01,Besilam,970.39,137.9,256,6571.3,1535.98
2023-02-01,Gunung Melayu,1465.79,53.8,393,9987.5,2381.15
2023-02-01,Padang Halaban,842.29,172.6,212,5863.7,1014.47
2023-02-01,Rambung Sialang,608.14,217.6,140,3983.3,561.45
2023-03-01,Batu Karo,1174.06,150.7,333,7992.8,2139.82
2023-03-01,Besilam,998.5,204.2,276,7233.2,1762.14
2023-03-01,Gunung Melayu,1440.64,134.6,396,9680.7,2551.25
2023-03-01,Padang Halaban,839.87,179.7,206,5503.0,1075.35
2023-03-01,Rambung Sialang,615.68,125.2,150,4108.9,582.79
2023-04-01,Batu Karo,1231.67,180.2,325,8219.3,2440.4
2023-04-01,Besilam,987.06,143.1,271,7767.2,1824.29
2023-04-01,Gunung Melayu,1433.62,168.2,366,10278.1,2946.27
2023-04-01,Padang Halaban,863.39,222.9,210,5326.3,1223.32
2023-04-01,Rambung Sialang,606.98,204.1,144,3968.9,676.56
2023-05-01,Batu Karo,1213.96,117.4,321,8078.1,2401.73
2023-05-01,Besilam,1004.02,194.4,273,7057.2,2014.41
2023-05-01,Gunung Melayu,1419.84,155.9,384,9811.5,3169.92
2023-05-01,Padang Halaban,868.98,186.6,212,5571.6,1305.74
2023-05-01,Rambung Sialang,627.71,104.6,142,3858.0,694.51
2023-06-01,Batu Karo,1217.02,120.5,339,9223.5,2538.77
2023-06-01,Besilam,1008.51,279.2,282,6659.5,2270.52
2023-06-01,Gunung Melayu,1441.21,119.5,356,9477.0,2898.33
2023-06-01,Padang Halaban,851.91,222.2,211,5331.0,1283.0
2023-06-01,Rambung Sialang,618.22,153.9,144,3763.9,670.09
2023-07-01,Batu Karo,1199.88,213.6,316,9205.2,2346.01
2023-07-01,Besilam,987.78,152.9,251,7435.5,1741.22
2023-07-01,Gunung Melayu,1413.93,134.5,406,9804.3,3079.56
2023-07-01,Padang Halaban,862.75,139.2,191,5937.9,1140.01
2023-07-01,Rambung Sialang,602.76,227.5,149,3849.3,603.03
2023-08-01,Batu Karo,1195.73,149.6,315,8601.4,2316.8
2023-08-01,Besilam,1001.27,202.5,286,7017.6,1855.43
2023-08-01,Gunung Melayu,1442.06,207.1,354,9126.1,3272.73
2023-08-01,Padang Halaban,825.88,169.4,192,5204.2,1117.41
2023-08-01,Rambung Sialang,608.04,154.2,153,3601.0,625.97
2023-09-01,Batu Karo,1216.0,239.1,335,9061.4,2385.83
2023-09-01,Besilam,962.65,179.7,262,7770.7,1629.1
2023-09-01,Gunung Melayu,1443.16,109.1,400,10422.2,2750.04
2023-09-01,Padang Halaban,843.86,107.4,202,5244.9,1127.89
2023-09-01,Rambung Sialang,621.94,208.7,148,3643.8,638.49
2023-10-01,Batu Karo,1221.59,178.9,316,7688.2,2493.89
2023-10-01,Besilam,987.85,107.0,260,6680.7,1898.94
2023-10-01,Gunung Melayu,1430.19,173.8,354,10612.0,3143.99
2023-10-01,Padang Halaban,838.48,143.9,201,5666.6,1257.55
2023-10-01,Rambung Sialang,601.81,176.5,142,4104.0,707.62
